arch,cpu-clock,isa,l1d_assoc,l1d_cache_lines,l1d_shared_by_threads,l1d_size,l2_assoc,l2_cache_lines,l2_shared_by_threads,l2_size,l3_assoc,l3_cache_lines,l3_shared_by_threads,l3_size,mem-size,mem-type,mem_clock,num-cpus,PS,num-cpu,bus_speed,runtime,power
desktop,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,3,250,4,4096,8356.1481,30.162043199999996
desktop,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,4,250,4,4096,6709.7348,34.77599443
desktop,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,1,300,4,4096,40849.1541,16.17800942
desktop,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,2,300,4,4096,21871.1893,24.96249712
desktop,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,3,300,4,4096,14274.2809,30.08129117
desktop,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,4,300,4,4096,11921.3765,36.99878953
desktop,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,1,350,4,4096,63132.1857,16.21934658
desktop,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,2,350,4,4096,34137.498999999996,25.12010619
desktop,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,3,350,4,4096,22978.7961,31.25838259
desktop,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,4,350,4,4096,17706.2269,37.91880697
desktop,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,1,400,4,4096,95356.4634,16.79259007
desktop,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,2,400,4,4096,50282.9185,26.0661282
desktop,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,3,400,4,4096,34071.3299,32.19510078
desktop,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,4,400,4,4096,27579.6304,39.14512574
desktop,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,1,450,4,4096,133801.3146,16.6944563
desktop,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,2,450,4,4096,70245.4457,25.44831316
desktop,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,3,450,4,4096,48024.5279,32.41103386
desktop,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,4,450,4,4096,37267.4893,39.31046409
desktop,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,1,500,4,4096,183415.1973,16.94693376
desktop,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,2,500,4,4096,96055.6833,25.87724864
desktop,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,3,500,4,4096,66341.5605,32.63960907
desktop,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,4,500,4,4096,51051.9877,40.25126724
desktop,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,1,50,4,4096,298.3525,11.45591205
desktop,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,2,50,4,4096,218.938,10.98347477
desktop,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,3,50,4,4096,2115.8451,19.03887009
desktop,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,4,50,4,4096,4538.8492,14.34553058
lab007068,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR4,2400,1,100,4,4096,1286.4541,13.53573361
lab007068,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR4,2400,2,100,4,4096,824.4015,17.25748922
lab007068,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR4,2400,3,100,4,4096,690.7151,9.888013162
